,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,interaction_name_2,evidence,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version
APOE_TREM2_TYROBP,APOE_TREM2_TYROBP,ApoE,APOE,TREM2_TYROBP,,,,,Cell-Cell Contact,APOE - TREM2,uniprot;PMID:27477015,FALSE,APOE,Apolipoprotein A1/A4/E,"Extracellular vesicle, Secreted, Extracellular matrix, Multivesicular body, Extracellular space, Endosome","Glycation, Lipid transport, Host-virus interaction, Secreted, Extracellular matrix, Cholesterol metabolism, Endosome, Lipid-binding, Oxidation, Alzheimer disease, Chylomicron, Glycoprotein, VLDL, Disease variant, Steroid metabolism, Amyloidosis, Signal, Reference proteome, Sterol metabolism, Neurodegeneration, Phosphoprotein, Lipid metabolism, Transport, Direct protein sequencing, Hyperlipidemia, HDL, 3D-structure, Heparin-binding, Repeat",secreted,FALSE,"TREM2, TYROBP",TYROBP,"Cell membrane, Secreted","Membrane, Disulfide bond, Secreted, Transmembrane, Lipid-binding, Receptor, Alternative splicing, Glycoprotein, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Cell membrane, Transmembrane helix, 3D-structure, Immunity, Phosphoprotein, Metal-binding, Calcium",Receptors,IG;OtherTREM,,,TRUE,CellChatDB v2
CD200_CD200R1,CD200_CD200R1,CD200,CD200,CD200R1,,,,,Immune modulator,CD200 - CD200R1,22020332,NA,CD200,,,,,NA,CD200R1,,,,,,,,NA,celltalkDB
CD200_CD200R1L,CD200_CD200R1L,CD200,CD200,CD200R1L,,,,,Cell-Cell Contact,CD200 - CD200R1L,PMID:22020332;also_called_CD200_CD200R,FALSE,CD200,,Cell membrane,"Membrane, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Alternative splicing, Glycoprotein",,TRUE,CD200R1L,CD200R,"Cell membrane, Secreted","Membrane, Signal, Reference proteome, Host-virus interaction, Cell membrane, Transmembrane helix, Disulfide bond, Secreted, Transmembrane, Direct protein sequencing, Receptor, Alternative splicing, Glycoprotein",Receptors,IG;OtherMisc,,secreted,TRUE,CellChatDB v2
NTF5_NGFR,NTF5_NGFR,NT,NTF4,NGFR,,,,,Secreted Signaling,NTF4 - NGFR,uniprot,FALSE,NTF4,NGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Glaucoma, Cleavage on pair of basic residues, 3D-structure, Glycoprotein",growth factor,FALSE,NGFR,,"Perikaryon, Cell projection, Growth cone, Cell membrane, Dendritic spine","Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Neurogenesis, Alternative splicing, Glycoprotein, Cell projection, Developmental protein, Signal, Biological rhythms, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Apoptosis, Synapse, 3D-structure, Repeat",Receptors,Other_receptors;TNFNGF,,,TRUE,CellChatDB v2
12oxoLeukotrieneB4-12oxoLTB4-PTGR1_LTB4R1,12oxoLeukotrieneB4-12oxoLTB4-PTGR1_LTB4R1,12oxoLTB4,12oxoLTB4-PTGR1,LTB4R,,,,,Non-protein Signaling,12oxoLTB4-PTGR1 - LTB4R,PMID: 33037399,FALSE,PTGR1,NADP-dependent oxidoreductase L4BD,Cytoplasm,"NADP, Oxidoreductase, Reference proteome, Phosphoprotein, Prostaglandin metabolism, Lipid metabolism, Alternative splicing, Cytoplasm, 3D-structure, Hydroxylation, Fatty acid metabolism, Acetylation",,FALSE,LTB4R,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
12oxoLeukotrieneB4-12oxoLTB4-PTGR1_LTB4R2,12oxoLeukotrieneB4-12oxoLTB4-PTGR1_LTB4R2,12oxoLTB5,12oxoLTB4-PTGR1,LTB4R2,,,,,Non-protein Signaling,12oxoLTB4-PTGR1 - LTB4R2,PMID: 33037400,FALSE,PTGR1,NADP-dependent oxidoreductase L4BD,Cytoplasm,"NADP, Oxidoreductase, Reference proteome, Phosphoprotein, Prostaglandin metabolism, Lipid metabolism, Alternative splicing, Cytoplasm, 3D-structure, Hydroxylation, Fatty acid metabolism, Acetylation",,FALSE,LTB4R2,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Transmembrane, Receptor, G-protein coupled receptor, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
27Hydroxycholesterol-27HC-CYP11A1_NR1H4,27Hydroxycholesterol-27HC-CYP11A1_NR1H4,27HC,22HC-CYP11A1,NR1H4,,,,,Non-protein Signaling,22HC-CYP11A1 - NR1H4,HMRbase;uniprot,FALSE,CYP11A1,Cytochrome P450,Mitochondrion inner membrane,"Membrane, Monooxygenase, Mitochondrion, Steroidogenesis, Cholesterol metabolism, Iron, Mitochondrion inner membrane, Alternative splicing, Transit peptide, Disease variant, Steroid metabolism, Oxidoreductase, Reference proteome, Sterol metabolism, Metal-binding, Lipid metabolism, Direct protein sequencing, Steroid biosynthesis, Lipid biosynthesis, 3D-structure, Heme",,FALSE,NR1H4,Nuclear hormone receptor,Nucleus,"Immunity, DNA-binding, Activator, Repressor, Zinc-finger, Alternative promoter usage, Receptor, Alternative splicing, Transcription regulation, Methylation, Intrahepatic cholestasis, Disease variant, Reference proteome, Metal-binding, Innate immunity, Nucleus, Phosphoprotein, Zinc, Isopeptide bond, 3D-structure, Transcription, Inflammatory response, Acetylation, Ubl conjugation",,,,,FALSE,CellChatDB v2
27Hydroxycholesterol-27HC-CYP3A4_NR1H4,27Hydroxycholesterol-27HC-CYP3A4_NR1H4,27HC,22HC-CYP3A4,NR1H4,,,,,Non-protein Signaling,22HC-CYP3A4 - NR1H4,HMRbase;uniprot,FALSE,CYP3A4,Cytochrome P450,"Endoplasmic reticulum membrane, Microsome membrane","Membrane, Monooxygenase, Transmembrane, Iron, Fatty acid metabolism, Endoplasmic reticulum, Disease variant, Steroid metabolism, Oxidoreductase, Microsome, Reference proteome, Sterol metabolism, Metal-binding, Transmembrane helix, Lipid metabolism, Direct protein sequencing, Steroid biosynthesis, Lipid biosynthesis, 3D-structure, Heme, Ubl conjugation",,FALSE,NR1H4,Nuclear hormone receptor,Nucleus,"Immunity, DNA-binding, Activator, Repressor, Zinc-finger, Alternative promoter usage, Receptor, Alternative splicing, Transcription regulation, Methylation, Intrahepatic cholestasis, Disease variant, Reference proteome, Metal-binding, Innate immunity, Nucleus, Phosphoprotein, Zinc, Isopeptide bond, 3D-structure, Transcription, Inflammatory response, Acetylation, Ubl conjugation",,,,,FALSE,CellChatDB v2
2arachidonoylglycerol-2AG-DAGLA_CNR1,2arachidonoylglycerol-2AG-DAGLA_CNR1,2-AG,2AG-DAGLA,CNR1,,,,,Non-protein Signaling,2AG-DAGLA - CNR1,PMID: 15115777,TRUE,DAGLA,"AB hydrolase superfamily, Lipase","Postsynaptic density membrane, Cell projection, Dendritic spine membrane, Early endosome membrane, Cell membrane","Membrane, Transmembrane, Lipid degradation, Glycoprotein, Cell projection, Hydrolase, Reference proteome, Neurodegeneration, Metal-binding, Transmembrane helix, Phosphoprotein, Cell membrane, Lipid metabolism, Calcium, Spinocerebellar ataxia, Postsynaptic cell membrane, Synapse, Endosome",,TRUE,CNR1,G-protein coupled receptor 1,"Presynapse, Cell projection, Axon, Mitochondrion outer membrane, Membrane raft, Cell membrane","Membrane, Mitochondrion outer membrane, Mitochondrion, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Transducer, Cell projection, Reference proteome, Lipoprotein, Obesity, Transmembrane helix, Cell membrane, Phosphoprotein, Synapse, G-protein coupled receptor, 3D-structure, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
2arachidonoylglycerol-2AG-DAGLA_CNR2,2arachidonoylglycerol-2AG-DAGLA_CNR2,2-AG,2AG-DAGLA,CNR2,,,,,Non-protein Signaling,2AG-DAGLA - CNR2,PMID: 15115778,TRUE,DAGLA,"AB hydrolase superfamily, Lipase","Postsynaptic density membrane, Cell projection, Dendritic spine membrane, Early endosome membrane, Cell membrane","Membrane, Transmembrane, Lipid degradation, Glycoprotein, Cell projection, Hydrolase, Reference proteome, Neurodegeneration, Metal-binding, Transmembrane helix, Phosphoprotein, Cell membrane, Lipid metabolism, Calcium, Spinocerebellar ataxia, Postsynaptic cell membrane, Synapse, Endosome",,TRUE,CNR2,G-protein coupled receptor 1,"Perikaryon, Dendrite, Cell projection, Cell membrane","Transducer, Cell projection, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Inflammatory response, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
2arachidonoylglycerol-2AG-DAGLA_GPR55,2arachidonoylglycerol-2AG-DAGLA_GPR55,2-AG,2AG-DAGLA,GPR55,,,,,Non-protein Signaling,2AG-DAGLA - GPR55,PMID: 20298715,TRUE,DAGLA,"AB hydrolase superfamily, Lipase","Postsynaptic density membrane, Cell projection, Dendritic spine membrane, Early endosome membrane, Cell membrane","Membrane, Transmembrane, Lipid degradation, Glycoprotein, Cell projection, Hydrolase, Reference proteome, Neurodegeneration, Metal-binding, Transmembrane helix, Phosphoprotein, Cell membrane, Lipid metabolism, Calcium, Spinocerebellar ataxia, Postsynaptic cell membrane, Synapse, Endosome",,TRUE,GPR55,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Transmembrane, Receptor, G-protein coupled receptor, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
2arachidonoylglycerol-2AG-DAGLB_CNR1,2arachidonoylglycerol-2AG-DAGLB_CNR1,2-AG,2AG-DAGLB,CNR1,,,,,Non-protein Signaling,2AG-DAGLB - CNR1,PMID: 15115777,TRUE,DAGLB,"AB hydrolase superfamily, Lipase",Cell membrane,"Membrane, Hydrolase, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Metal-binding, Lipid metabolism, Lipid degradation, Transmembrane, Calcium, Alternative splicing",,TRUE,CNR1,G-protein coupled receptor 1,"Presynapse, Cell projection, Axon, Mitochondrion outer membrane, Membrane raft, Cell membrane","Membrane, Mitochondrion outer membrane, Mitochondrion, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Transducer, Cell projection, Reference proteome, Lipoprotein, Obesity, Transmembrane helix, Cell membrane, Phosphoprotein, Synapse, G-protein coupled receptor, 3D-structure, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
2arachidonoylglycerol-2AG-DAGLB_CNR2,2arachidonoylglycerol-2AG-DAGLB_CNR2,2-AG,2AG-DAGLB,CNR2,,,,,Non-protein Signaling,2AG-DAGLB - CNR2,PMID: 15115778,TRUE,DAGLB,"AB hydrolase superfamily, Lipase",Cell membrane,"Membrane, Hydrolase, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Metal-binding, Lipid metabolism, Lipid degradation, Transmembrane, Calcium, Alternative splicing",,TRUE,CNR2,G-protein coupled receptor 1,"Perikaryon, Dendrite, Cell projection, Cell membrane","Transducer, Cell projection, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Inflammatory response, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
2arachidonoylglycerol-2AG-DAGLB_GPR55,2arachidonoylglycerol-2AG-DAGLB_GPR55,2-AG,2AG-DAGLB,GPR55,,,,,Non-protein Signaling,2AG-DAGLB - GPR55,PMID: 20298715,TRUE,DAGLB,"AB hydrolase superfamily, Lipase",Cell membrane,"Membrane, Hydrolase, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Metal-binding, Lipid metabolism, Lipid degradation, Transmembrane, Calcium, Alternative splicing",,TRUE,GPR55,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Transmembrane, Receptor, G-protein coupled receptor, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
5alphaDihydroprogesterone-DHRS9_PGR,5alphaDihydroprogesterone-DHRS9_PGR,5alphaP,5alphaP-DHRS9,PGR,,,,,Non-protein Signaling,5alphaP-DHRS9 - PGR,HMRbase,FALSE,DHRS9,Short-chain dehydrogenases/reductases (SDR),"Endoplasmic reticulum membrane, Microsome membrane","NADP, Oxidoreductase, Microsome, Membrane, Signal, Reference proteome, Steroid metabolism, Lipid metabolism, Alternative splicing, NAD, Endoplasmic reticulum",,FALSE,PGR,Nuclear hormone receptor,"Cytoplasm, Nucleus","Membrane, Mitochondrion outer membrane, Steroid-binding, Mitochondrion, DNA-binding, Zinc-finger, Lipid-binding, Alternative promoter usage, Receptor, Cytoplasm, Alternative splicing, Transcription regulation, Reference proteome, Lipoprotein, Metal-binding, Nucleus, Phosphoprotein, Direct protein sequencing, Zinc, Isopeptide bond, 3D-structure, Palmitate, Transcription, Ubl conjugation",,,,,FALSE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR1A,5-HT-TPH1_SLC18A1_HTR1A,5-HT,5-HT-TPH1_SLC18A1,HTR1A,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - HTR1A,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,HTR1A,G-protein coupled receptor 1,"Dendrite, Cell projection, Cell membrane","Transducer, Cell projection, Behavior, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR1B,5-HT-TPH1_SLC18A1_HTR1B,5-HT,5-HT-TPH1_SLC18A1,HTR1B,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - HTR1B,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,HTR1B,G-protein coupled receptor 1,Cell membrane,"Transducer, Behavior, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR1D,5-HT-TPH1_SLC18A1_HTR1D,5-HT,5-HT-TPH1_SLC18A1,HTR1D,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - HTR1D,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,HTR1D,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR1E,5-HT-TPH1_SLC18A1_HTR1E,5-HT,5-HT-TPH1_SLC18A1,HTR1E,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - P28566,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,HTR1E,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR1F,5-HT-TPH1_SLC18A1_HTR1F,5-HT,5-HT-TPH1_SLC18A1,HTR1F,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - HTR1F,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,HTR1F,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR2A,5-HT-TPH1_SLC18A1_HTR2A,5-HT,5-HT-TPH1_SLC18A1,HTR2A,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - HTR2A,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,HTR2A,G-protein coupled receptor 1,"Cell projection, Axon, Cytoplasmic vesicle, Dendrite, Caveola, Membrane, Cell membrane, Presynapse","Behavior, Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Transducer, Cell projection, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Synapse, G-protein coupled receptor, 3D-structure",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR2B,5-HT-TPH1_SLC18A1_HTR2B,5-HT,5-HT-TPH1_SLC18A1,HTR2B,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - HTR2B,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,HTR2B,G-protein coupled receptor 1,"Synapse, Cell membrane, Synaptosome","Behavior, Membrane, Disulfide bond, Transmembrane, Receptor, Glycoprotein, Transducer, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Synaptosome, Synapse, G-protein coupled receptor, 3D-structure, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR2C,5-HT-TPH1_SLC18A1_HTR2C,5-HT,5-HT-TPH1_SLC18A1,HTR2C,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - HTR2C,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,HTR2C,G-protein coupled receptor 1,Cell membrane,"Transducer, Behavior, Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, RNA editing, Alternative splicing, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR3_COMPLEX,5-HT-TPH1_SLC18A1_HTR3_COMPLEX,5-HT,5-HT-TPH1_SLC18A1,HTR3_complex,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - HTR3,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,"HTR3A, HTR3C, HTR3E, HTR3B, HTR3D",Ligand-gated ion channel (TC 1.A.9),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Ion transport, Glycoprotein, Signal, Reference proteome, Cell membrane, Transmembrane helix, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,TRUE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR4,5-HT-TPH1_SLC18A1_HTR4,5-HT,5-HT-TPH1_SLC18A1,HTR4,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - HTR4,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,HTR4,G-protein coupled receptor 1,"Cell membrane, Endosome","Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, Alternative splicing, G-protein coupled receptor, 3D-structure, Palmitate, Endosome, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR5A,5-HT-TPH1_SLC18A1_HTR5A,5-HT,5-HT-TPH1_SLC18A1,HTR5A,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - HTR5A,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,HTR5A,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
5-HT-TPH1_SLC18A1_HTR6,5-HT-TPH1_SLC18A1_HTR6,5-HT,5-HT-TPH1_SLC18A1,HTR6,,,,,Neurotransmitter,5-HT-(TPH1+SLC18A1) - HTR6,PMID: 23328530,TRUE,"SLC18A1, TPH1","Major facilitator superfamily, Vesicular transporter, Biopterin-dependent aromatic amino acid hydroxylase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Oxidoreductase, Monooxygenase, Metal-binding, Phosphoprotein, Iron, Serotonin biosynthesis, 3D-structure, Ubl conjugation",,FALSE,HTR6,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
